surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination,packed_cell_volume,total_protein,abdominocentesis_appearance,outcome,surgical_lesion
0,1,38.5,66,28,3,2,1,5,4,4,999,999,3,45,8.4,999,2,0
1,1,39.2,88,20,999,999,0,3,4,2,999,999,4,50,85,2,3,0
0,1,38.3,40,24,2,3,0,3,3,1,999,999,2,33,6.7,999,1,0
1,0,39.1,164,84,4,3,1,2,4,4,1,3,3,48,7.2,3,2,1
0,1,37.3,104,35,999,999,1,999,999,999,999,999,999,74,7.4,999,2,0
0,1,999,999,999,1,3,0,2,3,2,2,1,3,999,999,999,1,0
1,1,37.9,48,16,2,3,0,3,3,3,1,1,3,37,7,999,1,1
1,1,999,60,999,3,999,0,999,4,2,2,1,3,44,8.3,999,2,1
0,1,999,80,36,3,1,0,4,4,4,2,1,3,38,6.2,999,3,1
0,0,38.3,90,999,2,999,0,5,3,1,2,1,3,40,6.2,1,1,0
1,1,38.1,66,12,3,2,0,3,3,1,2,1,1,44,6,2,1,1
0,1,39.1,72,52,1,999,0,2,1,2,1,1,4,50,7.8,999,1,1
1,1,37.2,42,12,1,3,0,3,3,3,3,1,4,999,7,999,1,0
0,0,38,92,28,2,3,0,1,3,2,3,999,2,37,6.1,1,2,0
1,1,38.2,76,28,3,3,0,3,4,1,2,3,4,46,81,1,1,1
1,1,37.6,96,48,3,3,0,5,3,3,2,2,4,45,6.8,999,2,1
1,0,999,128,36,3,2,1,4,4,3,3,999,4,53,7.8,3,2,0
0,1,37.5,48,24,999,999,999,999,999,999,999,999,999,999,999,999,1,0
1,1,37.6,64,21,2,3,0,2,3,1,1,1,1,40,7,1,1,1
0,1,39.4,110,35,4,2,999,999,3,3,999,999,999,55,8.7,999,1,0
1,1,39.9,72,60,2,3,1,5,4,4,3,1,4,46,6.1,2,1,1
0,1,38.4,48,16,2,999,0,1,3,1,2,2,4,49,6.8,999,1,0
1,1,38.6,42,34,1,3,999,2,3,1,999,999,2,48,7.2,999,1,1
1,0,38.3,130,60,999,2,0,2,4,999,999,999,999,50,70,999,1,1
1,1,38.1,60,12,3,2,0,999,4,3,3,3,999,51,65,999,1,1
0,1,37.8,60,42,999,999,0,999,999,999,999,999,999,999,999,999,1,0
1,1,38.3,72,30,4,2,1,3,3,3,2,1,3,43,7,2,1,1
1,1,37.8,48,12,3,3,0,999,3,2,1,1,2,37,5.5,2,1,0
1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2,0
0,1,37.7,48,999,1,3,0,1,1,1,1,1,999,45,76,999,1,0
0,1,37.7,96,30,3,2,1,5,4,4,3,3,4,66,7.5,999,2,1
0,1,37.2,108,12,3,2,1,2,4,2,999,2,3,52,8.2,3,3,1
1,1,37.2,60,999,1,3,0,3,3,3,2,1,4,43,6.6,999,1,1
1,1,38.2,64,28,2,3,0,3,1,999,999,999,4,49,8.6,2,1,1
1,1,999,100,30,3,2,1,5,4,4,3,2,4,52,6.6,999,1,1
