Eng,Summer,size,class
1,1,19,1
0,1,17,1
1,0,49,1
1,0,33,1
0,0,55,1
0,1,20,1
0,0,19,1
0,0,27,1
1,1,58,1
0,1,20,1
0,0,9,1
0,0,30,1
0,0,29,1
0,0,39,1
0,0,42,0
0,0,28,0
0,0,51,0
0,0,19,0
0,0,31,0
1,1,13,0
0,0,37,0
0,0,36,0
0,0,21,0
0,0,48,0
0,0,38,0
1,1,19,1
0,1,17,1
1,0,49,1
1,0,33,1
0,0,55,1
0,1,20,1
0,0,19,1
0,0,27,1
1,0,58,1
0,1,20,1
0,0,9,1
0,0,30,1
0,0,29,1
0,0,39,1
0,0,42,0
0,0,28,0
0,0,51,0
0,0,19,0
0,0,31,0
1,1,13,0
0,0,37,0
0,0,36,0
0,0,21,0
0,0,48,0
0,0,38,0
1,1,25,1
1,1,17,1
0,0,11,1
0,0,39,1
0,1,11,1
0,0,19,1
1,0,45,1
0,1,20,1
0,1,20,1
1,1,20,1
1,0,38,1
0,0,17,1
1,0,19,1
0,0,24,1
0,0,25,1
1,0,31,1
0,0,31,1
0,0,14,0
1,0,38,0
0,0,29,0
0,0,19,0
0,0,30,0
1,0,32,0
0,0,27,0
0,0,34,0
0,0,23,0
0,0,66,0
0,0,12,0
0,0,29,0
0,0,19,0
0,0,3,0
0,0,17,1
0,0,7,1
1,0,21,1
0,0,36,1
1,0,54,1
1,0,29,1
0,0,45,1
0,0,30,0
0,0,19,0
0,0,11,0
0,0,29,0
0,0,15,0
0,0,37,0
0,0,10,0
0,0,24,0
0,0,26,0
0,0,12,0
1,0,48,0
0,0,51,0
0,0,27,0
