Eng,Summer,size,class
0,0,42,1
0,0,43,1
0,0,10,1
0,0,46,1
0,1,10,1
0,0,42,1
0,0,27,1
0,0,23,1
0,0,31,1
0,1,22,1
0,0,37,1
0,0,13,1
0,0,24,1
0,0,38,1
0,0,42,0
0,0,28,0
0,0,51,0
0,0,19,0
0,0,31,0
1,1,13,0
0,0,37,0
0,0,36,0
0,0,21,0
0,0,48,0
0,0,38,0
0,0,42,1
0,0,43,1
0,0,10,1
0,0,46,1
0,1,10,1
0,0,42,1
0,0,27,1
0,0,23,1
0,0,31,1
0,1,22,1
0,0,37,1
0,0,13,1
0,0,24,1
0,0,38,1
0,0,42,0
0,0,28,0
0,0,51,0
0,0,19,0
0,0,31,0
1,1,13,0
0,0,37,0
0,0,36,0
0,0,21,0
0,0,48,0
0,0,38,0
0,0,18,1
1,0,22,1
1,0,27,1
0,0,14,1
0,0,20,1
1,0,35,1
0,1,20,1
1,1,20,1
0,0,37,1
1,0,15,1
0,0,25,1
0,0,10,1
0,0,14,0
1,0,38,0
0,0,29,0
0,0,19,0
0,0,30,0
1,0,32,0
0,0,27,0
0,0,34,0
0,0,23,0
0,0,66,0
0,0,12,0
0,0,29,0
0,0,19,0
0,0,3,0
0,0,11,1
0,0,16,1
0,0,18,1
1,0,44,1
0,0,17,1
0,0,21,1
0,0,20,1
0,0,24,1
0,0,5,1
0,0,42,1
0,0,30,0
0,0,19,0
0,0,11,0
0,0,29,0
0,0,15,0
0,0,37,0
0,0,10,0
0,0,24,0
0,0,26,0
0,0,12,0
1,0,48,0
0,0,51,0
0,0,27,0
