Eng,Summer,size,class
1,1,19,1
0,1,17,1
1,0,49,1
1,0,33,1
0,0,55,1
0,1,20,1
0,0,19,1
0,0,27,1
1,1,58,1
0,1,20,1
0,0,9,1
0,0,30,1
0,0,29,1
0,0,39,1
0,0,42,0
0,0,43,0
0,0,10,0
0,0,46,0
0,1,10,0
0,0,42,0
0,0,27,0
0,0,23,0
0,0,31,0
0,1,22,0
0,0,37,0
0,0,13,0
0,0,24,0
0,0,38,0
1,1,19,1
0,1,17,1
1,0,49,1
1,0,33,1
0,0,55,1
0,1,20,1
0,0,19,1
0,0,27,1
1,0,58,1
0,1,20,1
0,0,9,1
0,0,30,1
0,0,29,1
0,0,39,1
0,0,42,0
0,0,43,0
0,0,10,0
0,0,46,0
0,1,10,0
0,0,42,0
0,0,27,0
0,0,23,0
0,0,31,0
0,1,22,0
0,0,37,0
0,0,13,0
0,0,24,0
0,0,38,0
1,1,25,1
1,1,17,1
0,0,11,1
0,0,39,1
0,1,11,1
0,0,19,1
1,0,45,1
0,1,20,1
0,1,20,1
1,1,20,1
1,0,38,1
0,0,17,1
1,0,19,1
0,0,24,1
0,0,25,1
1,0,31,1
0,0,31,1
0,0,18,0
1,0,22,0
1,0,27,0
0,0,14,0
0,0,20,0
1,0,35,0
0,1,20,0
1,1,20,0
0,0,37,0
1,0,15,0
0,0,25,0
0,0,10,0
0,0,17,1
0,0,7,1
1,0,21,1
0,0,36,1
1,0,54,1
1,0,29,1
0,0,45,1
0,0,11,0
0,0,16,0
0,0,18,0
1,0,44,0
0,0,17,0
0,0,21,0
0,0,20,0
0,0,24,0
0,0,5,0
0,0,42,0
